STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
1,500,500000,0.0002,0.1,39242,44913,1.649,87.374
1,1000,500000,0.0002,0.1,56959,83649,2.395,68.095
1,1500,500000,0.0002,0.1,60778,115822,2.554,52.475
1,2000,500000,0.0002,0.1,57284,141577,2.407,40.461
1,2500,500000,0.0002,0.1,51291,165727,2.154,30.949
1,3000,500000,0.0002,0.1,44999,187866,1.89,23.953
1,3500,500000,0.0002,0.1,38645,210018,1.624,18.401
1,4000,500000,0.0002,0.1,32700,232639,1.375,14.056
1,4500,500000,0.0002,0.1,27411,255536,1.151,10.727
1,5000,500000,0.0002,0.1,22935,277270,0.965,8.272
